2025-04-14 15:15:05 | INFO | Приложение запущено
2025-04-14 15:15:05 | DEBUG | Это отладочное сообщение
2025-04-14 15:15:05 | ERROR | Произошла ошибка!
2025-04-14 15:15:11 | INFO | Отправка запроса к OpenTripMap
2025-04-14 15:15:11 | INFO | Ответ сохранён в Redis
2025-04-14 15:15:57 | INFO | Приложение запущено
2025-04-14 15:15:57 | DEBUG | Это отладочное сообщение
2025-04-14 15:16:10 | INFO | Кэш найден по ключу: hotel:b5c9dce010ef875130372161cdf8062d
2025-04-14 15:21:25 | INFO | Приложение запущено
2025-04-14 15:21:25 | DEBUG | Это отладочное сообщение
2025-04-14 15:21:54 | INFO | Приложение запущено
2025-04-14 15:21:54 | DEBUG | Это отладочное сообщение
2025-04-14 15:21:56 | ERROR | Ошибка подключения к Redis: Error connecting to localhost:6379. Multiple exceptions: [Errno 61] Connect call failed ('::1', 6379, 0, 0), [Errno 61] Connect call failed ('127.0.0.1', 6379).
2025-04-14 15:22:30 | INFO | Приложение запущено
2025-04-14 15:22:30 | DEBUG | Это отладочное сообщение
2025-04-14 15:22:32 | INFO | Отправка запроса к OpenTripMap
2025-04-14 15:22:32 | DEBUG | Параметры запроса: {'name': 'гостиница', 'radius': 100000, 'lat': 55.7522, 'lon': 37.6156, 'rate': 2, 'kinds': 'accomodations', 'format': 'json', 'apikey': '5ae2e3f221c38a28845f05b61726374a7919abf7bff262c8b4eb0f44'}
2025-04-14 15:22:32 | INFO | Ответ сохранён в Redis
2025-04-14 15:26:04 | INFO | Приложение запущено
2025-04-14 15:26:04 | DEBUG | Это отладочное сообщение
2025-04-14 15:27:39 | INFO | Приложение запущено
2025-04-14 15:27:39 | DEBUG | Это отладочное сообщение
2025-04-14 15:28:09 | INFO | Приложение запущено
2025-04-14 15:28:09 | DEBUG | Это отладочное сообщение
2025-04-14 15:28:17 | INFO | Приложение запущено
2025-04-14 15:28:17 | DEBUG | Это отладочное сообщение
2025-04-14 15:28:30 | INFO | Приложение запущено
2025-04-14 15:28:30 | DEBUG | Это отладочное сообщение
2025-04-14 15:28:55 | INFO | Приложение запущено
2025-04-14 15:28:55 | DEBUG | Это отладочное сообщение
2025-04-14 15:29:29 | INFO | Отправка запроса к OpenTripMap
2025-04-14 15:29:29 | DEBUG | Параметры запроса: {'name': 'гостиница', 'radius': 1000, 'lat': 55.7522, 'lon': 37.6156, 'rate': 3, 'kinds': 'accomodations', 'format': 'json', 'apikey': '5ae2e3f221c38a28845f05b61726374a7919abf7bff262c8b4eb0f44'}
2025-04-14 15:29:30 | INFO | Ответ сохранён в Redis
2025-04-14 15:29:33 | INFO | Отправка запроса к OpenTripMap
2025-04-14 15:29:33 | DEBUG | Параметры запроса: {'name': 'гостиница', 'radius': 1000, 'lat': 55.7522, 'lon': 37.6156, 'rate': 2, 'kinds': 'accomodations', 'format': 'json', 'apikey': '5ae2e3f221c38a28845f05b61726374a7919abf7bff262c8b4eb0f44'}
2025-04-14 15:29:33 | INFO | Ответ сохранён в Redis
2025-04-14 15:30:27 | INFO | Отправка запроса к OpenTripMap
2025-04-14 15:30:27 | DEBUG | Параметры запроса: {'name': 'отель', 'radius': 1000, 'lat': 55.7522, 'lon': 37.6156, 'rate': 2, 'kinds': 'accomodations', 'format': 'json', 'apikey': '5ae2e3f221c38a28845f05b61726374a7919abf7bff262c8b4eb0f44', 'sort_by': 'distance'}
2025-04-14 15:30:27 | INFO | Ответ сохранён в Redis
2025-04-14 15:30:35 | INFO | Отправка запроса к OpenTripMap
2025-04-14 15:30:35 | DEBUG | Параметры запроса: {'name': 'отель', 'radius': 10000, 'lat': 55.7522, 'lon': 37.6156, 'rate': 2, 'kinds': 'accomodations', 'format': 'json', 'apikey': '5ae2e3f221c38a28845f05b61726374a7919abf7bff262c8b4eb0f44', 'sort_by': 'distance'}
2025-04-14 15:30:36 | INFO | Ответ сохранён в Redis
2025-04-14 15:33:05 | INFO | Приложение запущено
2025-04-14 15:33:05 | DEBUG | Это отладочное сообщение
2025-04-14 15:35:33 | INFO | Приложение запущено
2025-04-14 15:35:33 | DEBUG | Это отладочное сообщение
2025-04-14 15:36:42 | INFO | Приложение запущено
2025-04-14 15:36:42 | DEBUG | Это отладочное сообщение
2025-04-14 15:38:12 | INFO | Приложение запущено
2025-04-14 15:38:12 | DEBUG | Это отладочное сообщение
2025-04-14 15:38:31 | INFO | Приложение запущено
2025-04-14 15:38:31 | DEBUG | Это отладочное сообщение
2025-04-14 15:39:12 | INFO | Приложение запущено
2025-04-14 15:39:12 | DEBUG | Это отладочное сообщение
2025-04-14 16:30:02 | INFO | Приложение запущено
2025-04-14 16:30:02 | DEBUG | Это отладочное сообщение
2025-04-14 16:37:37 | INFO | Приложение запущено
2025-04-14 16:37:37 | DEBUG | Это отладочное сообщение
2025-04-14 16:41:54 | INFO | Приложение запущено
2025-04-14 16:41:54 | DEBUG | Это отладочное сообщение
2025-04-14 16:56:31 | INFO | Приложение запущено
2025-04-14 16:56:31 | DEBUG | Это отладочное сообщение
2025-04-14 16:57:13 | INFO | Запрос к OpenTripMap API...
2025-04-14 16:57:13 | DEBUG | Параметры запроса: {'name': 'гостиница', 'radius': 10000, 'lat': 55.7522, 'lon': 37.6156, 'rate': 2, 'kinds': 'accomodations', 'format': 'json', 'apikey': '5ae2e3f221c38a28845f05b61726374a7919abf7bff262c8b4eb0f44'}
2025-04-14 16:57:13 | ERROR | Ошибка при получении данных: Invalid input of type: 'list'. Convert to a bytes, string, int or float first.
2025-04-14 16:58:18 | INFO | Приложение запущено
2025-04-14 16:58:18 | DEBUG | Это отладочное сообщение
2025-04-14 16:58:27 | INFO | Приложение запущено
2025-04-14 16:58:27 | DEBUG | Это отладочное сообщение
2025-04-14 16:58:29 | INFO | Запрос к OpenTripMap API...
2025-04-14 16:58:29 | DEBUG | Параметры запроса: {'name': 'гостиница', 'radius': 10000, 'lat': 55.7522, 'lon': 37.6156, 'rate': 2, 'kinds': 'accomodations', 'format': 'json', 'apikey': '5ae2e3f221c38a28845f05b61726374a7919abf7bff262c8b4eb0f44'}
2025-04-14 16:58:29 | INFO | Данные сохранены в Redis.
2025-04-14 16:58:48 | INFO | Кэш найден по ключу: hotel:74f44f8647173d49fb2d685a5be6d830
2025-04-14 17:03:01 | INFO | Приложение запущено
2025-04-14 17:03:01 | DEBUG | Это отладочное сообщение
2025-04-14 17:03:04 | INFO | Кэш найден по ключу: hotel:74f44f8647173d49fb2d685a5be6d830
2025-04-14 17:03:06 | INFO | Кэш найден по ключу: hotel:74f44f8647173d49fb2d685a5be6d830
2025-04-14 17:03:15 | INFO | Кэш найден по ключу: hotel:74f44f8647173d49fb2d685a5be6d830
2025-04-14 17:03:27 | INFO | Приложение запущено
2025-04-14 17:03:27 | DEBUG | Это отладочное сообщение
2025-04-14 17:03:30 | INFO | Запрос к OpenTripMap API...
2025-04-14 17:03:30 | DEBUG | Параметры запроса: {'name': 'гостиница', 'radius': 10000, 'lat': 55.7522, 'lon': 37.6156, 'rate': 2, 'kinds': 'accomodations', 'format': 'json', 'apikey': '5ae2e3f221c38a28845f05b61726374a7919abf7bff262c8b4eb0f44'}
2025-04-14 17:03:30 | INFO | Данные сохранены в Redis.
2025-04-14 17:03:37 | INFO | Запрос к OpenTripMap API...
2025-04-14 17:03:37 | DEBUG | Параметры запроса: {'name': 'гостиница', 'radius': 10000, 'lat': 55.7522, 'lon': 37.6156, 'rate': 2, 'kinds': 'accomodations', 'format': 'json', 'apikey': '5ae2e3f221c38a28845f05b61726374a7919abf7bff262c8b4eb0f44'}
2025-04-14 17:03:37 | INFO | Данные сохранены в Redis.
2025-04-14 17:03:39 | INFO | Кэш найден по ключу: hotel:74f44f8647173d49fb2d685a5be6d830
2025-04-14 17:03:41 | INFO | Кэш найден по ключу: hotel:74f44f8647173d49fb2d685a5be6d830
2025-04-14 17:03:42 | INFO | Кэш найден по ключу: hotel:74f44f8647173d49fb2d685a5be6d830
2025-04-14 17:03:44 | INFO | Запрос к OpenTripMap API...
2025-04-14 17:03:44 | DEBUG | Параметры запроса: {'name': 'гостиница', 'radius': 10000, 'lat': 55.7522, 'lon': 37.6156, 'rate': 2, 'kinds': 'accomodations', 'format': 'json', 'apikey': '5ae2e3f221c38a28845f05b61726374a7919abf7bff262c8b4eb0f44'}
2025-04-14 17:03:44 | INFO | Данные сохранены в Redis.
2025-04-14 17:04:00 | INFO | Приложение запущено
2025-04-14 17:04:00 | DEBUG | Это отладочное сообщение
2025-04-14 17:04:02 | INFO | Запрос к OpenTripMap API...
2025-04-14 17:04:02 | DEBUG | Параметры запроса: {'name': 'гостиница', 'radius': 10000, 'lat': 55.7522, 'lon': 37.6156, 'rate': 2, 'kinds': 'accomodations', 'format': 'json', 'apikey': '5ae2e3f221c38a28845f05b61726374a7919abf7bff262c8b4eb0f44'}
2025-04-14 17:04:02 | INFO | Данные сохранены в Redis.
2025-04-14 17:04:15 | INFO | Кэш найден по ключу: hotel:74f44f8647173d49fb2d685a5be6d830
2025-04-14 17:04:30 | INFO | Кэш найден по ключу: hotel:74f44f8647173d49fb2d685a5be6d830
2025-04-14 17:12:26 | INFO | Приложение запущено
2025-04-14 17:12:26 | DEBUG | Это отладочное сообщение
2025-04-14 17:12:58 | INFO | Запрос к OpenTripMap API...
2025-04-14 17:12:58 | DEBUG | Параметры запроса: {'name': 'гостиница', 'radius': 10000, 'lat': 55.7522, 'lon': 37.6156, 'rate': 2, 'kinds': 'accomodations', 'format': 'json', 'apikey': '5ae2e3f221c38a28845f05b61726374a7919abf7bff262c8b4eb0f44', 'sort_by': <SortByEnum.distance: 'distance'>}
2025-04-14 17:12:58 | INFO | Данные сохранены в Redis.
